text,label
When I tell y’all I got dat good good gasss 😂. Nigga been smacked for hours off dis roach . Dat good crt bud Lls,0
"Instead of calling it ""Critical Race Theory"", call it by what it really is: ""True History"".",1
Crt is so different. I definitely needa grind it more to be consistent + comfortable cause I played very jittery and was really uncomfortable s lot of the time,0
The moral panic over critical race theory is coming for a North Carolina teacher of the year https://t.co/JUloUB7hNX,1
Donna Vincent - Executive Field Representative - Life's Abundance https://t.co/yePd4jJtYg @dmbvincent https://t.co/WKGzf7nT4l,0
What the fake rage over CRT is really about. https://t.co/eenaBXeVFT,1
Attending incredibly interesting session on “Teaching Social Justice in a ‘Hip Hop in the Law’ Course’” - pulling nuggets of wisdom and teaching ideas for my Critical Race Theory course. #AALS2020,1
Convert .pem to .crt and .key https://t.co/dAO1xXr6Wa,0
"Now, what kind of person would want to do that? 🤔

""Republicans at the local, state and national levels are trying to block curriculums that emphasize systemic racism.""
https://t.co/orTVVfC12T",1
"Trump has repeatedly said he is “the least racist person” in the room, in the world, etc.

In other words, he is saying quite clearly that he is racist (just less so than most). 

Isn’t he tacitly validating the claims of critical race theory with this stuff?",1
"As a reminder, @NikkiFried met with @rweingarten who has advocated for forced masking, closed schools, CRT and the exclusion of parents from school based decision making.  Never forget Fried is no moderate. https://t.co/EhE1zlKlQb",1
I suppose I ought to be grateful that the cranky old CRT nutter still has me on mute and ergo couldn’t see the few cogent points I brought up... *sigh* the old coot keeps popping up in my feed with absurd claims... can’t resist.. answering with logic... Ack!,1
#Kelowna Crews responding to Spall Rd and Enterprise Crt for a cyclist struck,0
"#forrent 12 Brisbane Crt - SINGLE FAMILY, 4 Bedroom 4 Bath home in Paradise! https://t.co/phRuqNea1Z",0
How DeSantis Is Tackling Critical Race Theory in Florida https://t.co/MRf2Y2RKxU,1
"If you ever get the chance, search on twitter for teachers who are having discussions about CRT. Most of them are barely literate.",1
"CRT protects GSEs, taxpayers from unexpected disasters https://t.co/TzIwp1Ued5 https://t.co/k83wHdRCbS",0
"Trump eliminates federal antiracism training, calling it “a sickness” - Vox https://t.co/YjWpiyhAh5",1
"Why don't we call CRT what it is: American History, unedited, unredacted, unvarnished, and truthful, blemishes and all. 
If we don't understand how we got here, we'll be stuck in a false narrative forever.",1
"https://t.co/StzCEZ7yIH
Mom in Carmel NY fights back against teaching critical race theory as board tries to tone police her",1
"Serious topic here, but I would be remiss if I didn’t recognize that today was a big day for @aledlab! Thrilled to share a byline with Rebecca Griesbach @greezbock! Our team of K-12 education reporters keeps on growing….! #DreamsDoComeTrue  https://t.co/7oCm4yuVZW",1
"Crystal Wallet is a simple, secure and powerful digital asset management application.  With a goal towards the community.  I believe this is a promising future e-wallet.

https://t.co/Y4hwYXjxH6
#crystalwallet #crt #crystaltoken #ieo #bsc  @Tienasu1 @chenyiuly @Ocetia1",0
Guest Column: Misinformation about Critical Race Theory Bears Resemblance to the Past https://t.co/PFcUen9IrE via @Yahoo,1
Want to Know More About Critical Race Theory? Look at Virginia’s Schools—For More Than 75 Years https://t.co/kMKEF2VMwV,1
"Let’s be honest- how much time does it take you to eat-out!?

If you are thinking of anything more than 9 minutes and missing out on new places, get Instabids instead! https://t.co/zwG745T1KS https://t.co/tZdyQoUAGU",0
New Charlie Kirk Tour was just announced! Get your tickets now at https://t.co/Tch6aKx2ok,0
True dat! https://t.co/UqHg3onR1M,0
"Thread by @realchrisrufo: There is a civil war erupting at @SandiaLabs. Following my investigation, a dissident electrical engineer named Casemailed all 16,000 employees denouncing critical race theory in the lab and hoping to spark a rebellion against S… https://t.co/dl7l3xO6WL",1
"Alarm (commercial/industrial) [North York]
Lawrence Avenue
b/w Dufferin Street / Good Shepherd Crt
Dispatched: 12/12/20 @ 08:36 EST
[Stn: 145] Aerial-133 DistChief-13 Pumper-131 Pumper-132 Pumper-145
General Area:",0
"Trump ends 'critical race theory' training for federal employees, calls it a 'sickness' https://t.co/MriQYn9Ean #FoxNews",1
"#Vintage Porcelain Balls in #Blue or #Red 3 sizes, 6 designs, Orb, Globe #etsyspecialt #etsyseller #shopsmall #VintageEtsy @SNRTG @SGH_RTs @blazedrts @SpxcRTS #etsy #etsypro @SympathyRTS @FearRTs @RTFAMDNR @Cods_Rts 
https://t.co/NhIrfnzl6K
(Tweeted via https://t.co/JPOkl84hAn) https://t.co/m4FeVu3ltC",0
"""Critical Race Theory"" by artist Jonathan Harris Originally posted by Patrick Jones https://t.co/zoZ1o5veu6",1
"Use Crt Tag &amp; Don't type 

Rt maxx🔁🔁🔁🔁

THALAPATHY BdayFestCPD ❌

#THALAPATHYBdayFestCDP ✅

#Master || @actorvijay",0
"Major Ivy League College President Claims 'Critical Race Theory Is the New Communism,' Means It as a Compliment. https://t.co/9lBwbxIPRO",1
"“Among the books Moms for Liberty deemed inappropriate are ‘Martin Luther King Jr. and the March on Washington’ and ‘The Story of Ruby Bridges,’ about the Black 6-year-old who integrated a Louisiana public school in 1960.” https://t.co/azNDhQC9Qm",1
"Democrats Try to Rebrand Critical Race Theory as ""School Equity"" https://t.co/tNeAHlBJXx via @YouTube",1
"Florida Teacher Gets Fired Over CRT Ban, but Parents Still Concerned Over Textbooks https://t.co/XhZgE7N6rc
 
Download our app to read more at https://t.co/fqqdumT0e2",1
"Critical Race Theory

Try to tell black people side of the story

It try to help people understand how black people feel

Republicans don't want to hear it

And that's why they will continue to lose 90% of the black vote or more

They are out of touch with the masses of blacks",1
"Did you know on #Etsy we have a #RumbleBox #Smellproof Stash Pouch WITH our traditional #Dugout Box Combo? #FREESHIPPING ! https://t.co/8XppjpHHXl  #CannabisCommunity 
#cannabisculture https://t.co/p1nrGt76lf",0
"This America last BS is for the birds! America will always be first, you communist knuckleheads need to step off and let someone with honesty and brains take over! CRT is another BS story, like 1619! Forget it! You will lose!",1
"Finally, my after all that trouble, I finally have a CRT monitor up and running for my retro computers.

I wanted to see what my favourite retro styled games look on a CRT and I gotta say, pretty impressive!

@Airdorf @98DEMAKE https://t.co/dFpZU54sF3",0
"CRT - The higher up on the hierarchy of oppression you rise the more you will be able to see and take the logs out of someone's eye.

Christianity - Take the log out of your own eye first so that you can see clearly to point out the speck in someone else's eye.",1
Virginia at center of critical race theory battle https://t.co/aJTkNfLjeF via @YouTube,1
How do scanlines of old televisions and monitors look like? #retro #crt,0
"When I say that the goal of Critical Race Theory is to move the United States in the direction of South Africa, I mean that literally. It's an aspirational goal. Here's receipts from Inslee's Equity Task Force in Washington last year. Courtesy of @BenjaminABoyce. https://t.co/LQy5gWuP2v",1
Why the hell does @FoxNews keep having the dismal Juan Williams on? No one wants to hear from him. And he just lied &amp; said CRT isn’t taught in schools. It’s on the VA DOE website!,1
Welcome to #Edchat!  Our topic:   As an educator how do you feel about the critical race theory being banned by politicians and superintendents in many states?,1
"White Rapper Gets Socked For Dropping 'N-Word' During Battle -- https://t.co/6m9jNVRzNd via @hiphopdx of course he barely got tapped and another black man came to his rescue so 🛑 being inflammatory, exaggerating &amp; get back to double standards as usual. This is why #CRT  &amp; #SJW",1
FIFA 22 on a 2001 CRT TV has some great retro feeling! #FIFA22 #Retro #CRT #XboxSeriesX #Xbox https://t.co/7lKlA8yacf,0
OMB Director Russ Vought on Bolstering the U.S. Navy and Defunding Critical Race Theory Trainings https://t.co/qoVpwcBLk1,1
"Why Is Teaching the History of the Alamo Controversial? The subtext is that white feelings are hurt by talking about the racial history that, certainly, Mexican American families are well aware of and African American families are well aware of in Texas. https://t.co/gNNBcpob0d",1
"*flips switch* wirrrrrr
*crt display degausses loudly*
*boot noise*
twitter -t
YOU HAVE 4 NEW NOTIFICATIONS OF STRANGERS OFFERING TO REPLACE YOUR ASS",0
"Fresh Star Fruit - The actual fruit
Get it here -&gt; https://t.co/7H5UnFsgjc
(affiliate) https://t.co/yAognuePUd",0
"A Democrat in the White House means ‘critical race theory’ training mandates throughout government, 300% increase of H-1B visas while millions of Americans are jobless, a restart of refugee programs, amnesty for 30 million illegals, and a decade of economic stagnation from COVID.",1
"It's not a coincidence that Texas is going after abortion care, LGBTQ+ communities, voting rights, and Critical Race Theory. This is a calculated attempt to control bodies, control identities, control education, and control history.

And we will not have it.",1
"Youngkin used a Trump Big Lie strategy, with CRT, and beat his opponent-not by huge numbers, but nonetheless....And yet Youngkin shied away from Trump. That's a profound message for 2024. I hope GOP wakes up to that reality.",1
"The truth about Glenn Youngkin's closing ad, by @JuddLegum https://t.co/frp8i69uZa CRT is NOT taught in any Virginia school!!
Younkin's ad is another BIG LIE!",1
Man CRT Mattias Really is the Best Filter Retro Game Shader like ever. Sucks it doesn't work with several PS1 games. #PCGaming #RetroArchFlycast01ca2fa42 https://t.co/VGbZQl3yTN,0
Parents fed up with critical race theory are trying to oust school board... https://t.co/nTO4PHWZum via @YouTube,1
"Billboard Music Awards (Top social Artist) voten armys son 10 votos por día 
 @BTS_twt 
📍link de votacion  
https://t.co/X0DZNFirhU https://t.co/ednLRM12Eu",0
"I go and play on some very old wooden boats in this weeks video 🏴‍☠️
Link here https://t.co/78fcDOqE1t

#CRT #boatsthattweet #woodenboats #canals #narrowboats #wellbeing #boatlife https://t.co/JeVnoE9eNO",0
"During my internship at NetApp, Inc. last summer, I monitored the performance of CRT displays",0
"Good 1st CRT class tonight, discussed concept of sincere fiction - ""ideological constructions that reproduce societal mythologies at the individual level, e.g. white individuals  seeing themselves as 'not racist,' as 'good people' while they think and act in anti-black ways",1
"This is so wrong! 🤬

Teacher Told Students To Hide ‘Equity Survey’ From Parents, Fourth Grader Says. Mom Fires Back: ‘Equity’ Is The Mask That Critical Race Theory Hides Behind’
 https://t.co/zbLMPe9lsT",1
Kansas Gov. Laura Kelly: Critical Race Theory Furor Is ‘Nothing Burger’ https://t.co/i1aWoJMTuh via @thedailybeast,1
"The state is controlling your kids.

Vax

Masks

CRT",1
I wonder what kind of a camera I'd need to take good photos of a CRT screen...,0
