Presentation Title,Code,Reason
"The New Velveteen Rabbit: Participatory Fan Culture, Abjection, and The Room",0,"The title does not explicitly mention race, racial identity, or discussions related to racism, inequality, power, privilege, or cultural perspectives tied to race."
Mother-Daughter Connection: Evaluating Familial Relationships and Their Influence on Female Perceptions of Success,0,The title focuses on familial relationships and female perceptions of success without references to race or racial issues.
Celebrity Manufacture Theory: Revisiting the Theorization of Celebrity Culture,0,The title focuses on celebrity culture and theory without references to race or racial issues.
Political Pornification Gone Global: Teresa Rodriguez as Fungible Object in the 2015 Spanish Regional Elections,0,The title focuses on political analysis and media representation without mentioning race or racial issues.
Integrating Face-To-Face and Technologically Mediated Communication in Daily Life in Slovenia and the United States,0,The title discusses communication methods in different countries without mentioning race or racial issues.
"Developing Media and Information Literacy Skills in Multi-ethnic Schools in Yunnan Province, China",1,"The title explicitly references multi-ethnic schools, which implies a focus on race and ethnic identity."
Does Parent-Child Texting in the Transition to College Protect Against Depression? A Longitudinal Study of First Year Students During the COVID-19 Pandemic,0,"The title focuses on parent-child texting and its effects on depression, without referencing race or racial issues."
"Interpersonal Conflict as an Emotional and Situational Experience: Examining Trait Neuroticism, Conflict Goals, and Resolution",0,"The title focuses on interpersonal conflict and emotional experiences, without mentioning race or racial issues."
A Comparison of the Advertising Campaigns for the 2006 Gubernatorial Race in Alabama:  A Case Study,0,"The title discusses political advertising in Alabama, without referencing race or racial issues."
"The Perception of Crisis, The Existence of Crisis: Navigating the Social Construction of Crisis in Higher Education",0,"The title focuses on the social construction of crisis in higher education, without referencing race or racial issues."
Justifying Public Speaking Models of Imitation,0,The title focuses on public speaking models without mentioning race or racial issues.
The Growing Digital Work Divide,0,The title discusses digital work disparities without referencing race or racial issues.
Exploring How ‘Humorous’ Extremist Memes Affect Audience Attitudes Toward Outgroups,0,The title discusses extremist memes and attitudes toward outgroups without explicitly addressing race or racial identity.
"Abraham, Isaac, and the Rhetoric of Sacrifice",0,"The title focuses on rhetorical analysis related to sacrifice and biblical figures, without mentioning race or racial issues."
Asian Americans' Experience and Perception of Social Stigma During COVID-19,1,"The title explicitly references Asian Americans and their experience of social stigma, which relates to race and racial issues."
Communication with the Ancestors in the Igbo New Yam Festival (Iwa-ji Ohu),1,"The title references the Igbo New Yam Festival, which is tied to cultural and ethnic identity, implicating race and cultural perspectives."
"“I am Different, and You Should Notice It”: Material, Sensemaking, and Communicative Tensions in the Narratives of Students of Color at a Predominantly White University",1,"The title explicitly references students of color and their experiences at a predominantly white university, addressing racial identity and related tensions."
Venusians in a Martian World,0,"The title appears to focus on a metaphorical or fictional context, with no explicit mention of race or racial issues."
The social ecologies of collaborative design in Visually Integrated Cyber-enabled Design (V-ICED) Environments,0,The title discusses collaborative design in cyber-enabled environments without referencing race or racial issues.
Studies in the Improvement of Health Outcomes for Underserved Populations,0,"The title focuses on health outcomes for underserved populations, which may include various groups, but does not explicitly reference race or racial issues."
Balancing Acknowledging and Distancing the Past: Opening the Vaults: Wonders of the 1893 World's Fair and the Field Museum of Natural History,0,"The title focuses on historical analysis and the museum's exhibitions, without referencing race or racial issues."
19. Reflexivity and Positionality in Researching African American Communities: Lessons from the Field,1,"The title explicitly references African American communities and discusses research related to them, addressing race and racial identity."
“It Sucks to be You”: Using Dialogue to Challenge Student Complacency to Issues of Diversity,0,"The title references diversity but does not explicitly address race or racial issues, focusing more on student complacency toward diversity topics."
Cultivating Care and Concern on Reality Television: A Rhetorical Narrative Analysis of Microaggressions in Survivor: Season 34 - Game Changers,0,The title mentions microaggressions but does not explicitly address race or racial issues in the context of the reality television show.
Black Female Pilot Narratives: Applying Co-Cultural Theory to Inform Crew Resource Management,1,"The title explicitly references Black female pilots and applies a co-cultural theory, addressing race and identity in the context of crew resource management."
Combating racism and xenophobia in Appalachia: Discursive activism in the West Virginia Interfaith Refugee Ministry,1,"The title explicitly addresses racism and xenophobia, which are directly related to race and racial issues."
Maintaining Relationship Alternatives: Analyzing Relationship Maintenance Behaviors in Back Burner Relationships,0,The title focuses on relationship maintenance behaviors and does not mention race or racial issues.
Questioning Repeats in the Talk of Four-Year Old Children,0,The title focuses on language development in children without mentioning race or racial issues.
BUG: Body out of place based on The Metamorphosis by Franz Kafka in the time of COVID-19,0,"The title discusses a literary analysis of The Metamorphosis in the context of COVID-19, without referencing race or racial issues."
Appropriateness of mnemonics used by Japanese paramedics for reporting on patients with injuries,0,"The title focuses on mnemonics used by Japanese paramedics for patient reporting, without addressing race or racial issues."
In-between Alignments: Polish Immigrants in South Africa.,0,"The title mentions immigrants but does not explicitly address race or racial issues, focusing more on cultural or immigration aspects."
"Black Male Lives Matter, but Black Female Lives Don’t? A Comparative Textual Analysis of Newspaper Coverage of the Michael Brown and Miriam Carey Cases",1,"The title explicitly addresses Black male and female lives, comparing their treatment in media, directly relating to race and gender issues."
(Re)Constructing Asian-Americanness: A Performance Criticism of On Becoming Japerican,1,"The title explicitly references Asian-Americanness, which is tied to race and ethnic identity."
Asian Women in U.S. Media: Asian Female Media Representations as a Battlefield of Racialized Womanhood,1,"The title explicitly addresses Asian women and their racialized representation in U.S. media, focusing on race and gender issues."
If I Could Only Say It Myself: Communicating with Children of Incarcerated Parents,0,The title focuses on communication with children of incarcerated parents without referencing race or racial issues.
God is not pleased: Representative Elijah Cumming's Post Katrina Address as sermonic discourse,0,The title discusses a sermonic discourse by Elijah Cummings without mentioning race or racial issues explicitly.
Nonprofits’ External Stakeholder Engagement and Collaboration for Innovation: A Typology and Comparative Analysis,0,"The title focuses on nonprofit stakeholder engagement and collaboration, without referencing race or racial issues."
Politics over public health: Analysis of Twitter and Reddit posts concerning the role of politics in the public health response to COVID-19,0,The title discusses political and public health issues related to COVID-19 without mentioning race or racial issues.
Walking in Fear: An Autoethnographic Account of Media Framing of Inner-City Crime,0,The title discusses media framing of inner-city crime without explicitly referencing race or racial issues.
Framing Conversations:  The Association of Patients' Primary Goals for Conversations about their Internet Health Research with Attributions for their Doctors' Responses,0,"The title focuses on patients' conversations about health research and doctor responses, without referencing race or racial issues."
Revisiting Shared Cultural Memory to Critically Interrogate a Mestizaje Legacy,0,"The title references mestizaje but may not explicitly address race or racial issues, focusing more on cultural and historical context."
The Relationship between Individual Frames and Circulation Size in Daily Newspapers Letters Sections,0,"The title discusses the relationship between individual frames and circulation size in newspapers, without addressing race or racial issues."
International Virtual Teams: Learning Intercultural Business Communication by Doing,0,The title focuses on learning intercultural business communication in virtual teams without explicitly addressing race or racial issues.
“Our Bodies are not Terra Nullius”: Building a Decolonial Feminist Resistance to Gendered Violence,0,"The title refers to feminist resistance and gendered violence but may not explicitly address race or racial issues, focusing instead on gender and decolonial themes."
'Women Will Get Cancer': A Visual Rhetorical Criticism of Presence in a Health Campaign about HPV,0,"The title focuses on a health campaign about HPV and the visual rhetorical criticism of women's presence, without referencing race or racial issues."
The Watson-Barker Listening Test: Does Culture Make a Difference? A Comparison of Caucasian and Hispanic Student Populations,1,"The title explicitly compares Caucasian and Hispanic student populations, addressing cultural and racial differences."
Pushing Their Buttons: Exploring Facebook Reactions as Emotional Responses to Partisan Political News,0,"The title focuses on emotional responses to partisan political news, without addressing race or racial issues."
Vine: Redefining Racial Stereotypes in Six Seconds,1,"The title explicitly references racial stereotypes, which directly relates to race and identity."
Web Sights: Images of Diversity on College and University Homepages,0,"The title focuses on images of diversity on college homepages, but it does not explicitly address race or racial issues."
